1,1668681907,4,7,Whoever said that the definition of insanity is doing the same thing over and over again and expecting different results has obviously never had to reboot a computer.,1.png
2,1668682457,5,7,Whoever said that the definition of insanity is doing the same thing over and over again and expecting different results has obviously never had to reboot a computer.,2.png
3,1668682460,0,7,Whoever said that the definition of insanity is doing the same thing over and over again and expecting different results has obviously never had to reboot a computer.,3.png
4,1668682462,0,7,Whoever said that the definition of insanity is doing the same thing over and over again and expecting different results has obviously never had to reboot a computer.,4.png
5,1668682465,-2,7,Whoever said that the definition of insanity is doing the same thing over and over again and expecting different results has obviously never had to reboot a computer.,5.png
6,1668682467,2,7,kk,6.png
7,1668682470,5,7,kkk,7.png
8,1668682474,2,7,khkh,8.png
9,1668686596,1,5,hmm mb bcs they have a lot of money,9.png
10,1668759465,0,8,test,10.png
11,1668759472,0,8,test,11.png
12,1668765420,1,9,if else,12.png
13,1668765432,0,9,Cow,13.png
14,1668765451,0,9,programming,14.png
15,1668765469,0,9,AI,15.png
16,1668765495,0,9,Work,16.png
17,1668765508,0,9,:D,17.png
18,1668765509,0,9,Endless,18.png
19,1668765536,0,9,Programmer live,19.png
20,1668765599,0,9,My code,20.png
21,1668765614,0,9,Programming reality,21.png
22,1668765820,0,9,coffe,22.png
23,1668765834,0,9,Decisions,23.png
24,1668765844,0,9,Ram,24.png
25,1668765855,0,9,Password,25.png
26,1668765881,0,9,last minute changes,26.png
27,1668765976,0,9,Full stack,27.png
28,1668765990,0,9,Caps lock,28.png
29,1668766076,0,9,Linux,29.png
30,1668766096,0,9,Winrar,30.png
31,1668766109,0,9,AI,31.png
32,1668766236,0,9,recursion ,32.png
33,1668766243,0,9,recursion ,33.png
34,1668766785,0,9,rec,34.png
35,1668766806,0,9,night,35.png
36,1668766846,0,9,errors,36.png
37,1668766863,0,9,Comments,37.png
38,1668766881,0,9,Feature,38.png
39,1668766904,0,9,AI,39.png
40,1668767022,0,8,gfh,40.png
41,1668767031,0,9,Programming ,41.png
42,1668767256,0,9,panda,42.png
43,1668767944,0,10,Yes!,43.png
44,1668768028,0,9,haha funny goat,44.png
